,text,emotion
0,i didnt feel humiliated,Sadness
1,i can go from feeling so hopeless to so damned hopeful just from being around someone who cares and is awake,Sadness
2,im grabbing a minute to post i feel greedy wrong,Anger
3,i am ever feeling nostalgic about the fireplace i will know that it is still on the property,Love
4,i am feeling grouchy,Anger
5,ive been feeling a little burdened lately wasnt sure why that was,Sadness
6,ive been taking or milligrams or times recommended amount and ive fallen asleep a lot faster but i also feel like so funny,Surprise
7,i feel as confused about life as a teenager or as jaded as a year old man,Fear
8,i have been with petronas for years i feel that petronas has performed well and made a huge profit,Joy
9,i feel romantic too,Love
10,i feel like i have to make the suffering i m seeing mean something,Sadness
11,i do feel that running is a divine experience and that i can expect to have some type of spiritual encounter,Joy
12,i think it s the easiest time of year to feel dissatisfied,Anger
13,i feel low energy i m just thirsty,Sadness
14,i have immense sympathy with the general point but as a possible proto writer trying to find time to write in the corners of life and with no sign of an agent let alone a publishing contract this feels a little precious,Joy
15,i do not feel reassured anxiety is on each side,Joy
16,i didnt really feel that embarrassed,Sadness
17,i feel pretty pathetic most of the time,Sadness
18,i started feeling sentimental about dolls i had as a child and so began a collection of vintage barbie dolls from the sixties,Sadness
19,i now feel compromised and skeptical of the value of every unit of work i put in,Fear
20,i feel irritated and rejected without anyone doing anything or saying anything,Anger
21,i am feeling completely overwhelmed i have two strategies that help me to feel grounded pour my heart out in my journal in the form of a letter to god and then end with a list of five things i am most grateful for,Fear
22,i have the feeling she was amused and delighted,Joy
23,i was able to help chai lifeline with your support and encouragement is a great feeling and i am so glad you were able to help me,Joy
24,i already feel like i fucked up though because i dont usually eat at all in the morning,Anger
25,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,Sadness
26,i feel so inhibited in someone elses kitchen like im painting on someone elses picture,Sadness
27,i become overwhelmed and feel defeated,Sadness
28,i feel kinda appalled that she feels like she needs to explain in wide and lenghth her body measures etc pp,Anger
29,i feel more superior dead chicken or grieving child,Joy
30,i get giddy over feeling elegant in a perfectly fitted pencil skirt,Joy
31,i remember feeling acutely distressed for a few days,Fear
